AX,A,Ei,Ji,Ed,Jd,Q,Ee,Vi,nlj,Jat,Type,Yn_SI,tauEM_SI,Gamma_eV,Gamma_AU,oneoveroneplusalpha,AroverGamma,B_wu,Ar_SI,B_wu_2,Ar_AU,IC_tot,Sth,Sth_Check,Ref,pi2_p2,Spdb_tot,Ratio_tot,compute,P,IC_P,Spdb_P,Ratio_P,Rneec
165HO,165,0,3.5,0,4.5,94.7,29.563,65.137,1s 1/2,0.5,M1,12800000000,NA,1.17E-05,4.29967073342019E-07,0.242130750605327,0.418399841623385,0.275,7437236806.07168,0.34375,1.79898155389571E-07,3.13,0.884,74.0711260983861,Pthesis,,16.4061330944085,18.5589740886974,TRUE,1,2.56,137.721126321523,155.79312932299,NA
173YB,173,0,2.5,0,3.5,78.647,7.073,71.574,1s 1/2,0.5,M1,7320000000,NA,4.8E-06,1.76396748037752E-07,0.124843945068664,0.248534023081393,0.117,1812430341.42086,0.156,4.38405934482974E-08,7.01,1.26,740.013681744106,Pthesis,,13.8482209589539,10.9906515547253,TRUE,1,5.63,1375.4256642458,1091.60767003635,NA
185RE,185,0,2.5,0,3.5,125.358,42.198,83.16,1s 1/2,0.5,M1,26200000000,NA,2.36E-05,8.67284011185612E-07,0.265957446808511,0.489888150383396,0.28,17564798594.5406,0.373333333333333,4.24872160096812E-07,2.76,1.34,74.4138098341074,Pthesis,,20.7982652042203,15.5210934359853,TRUE,1,2.24,148.998596669228,111.192982588976,NA
187RE,187,0,2.5,0,3.5,134.243,51.083,83.16,1s 1/2,0.5,M1,25000000000,NA,2.47E-05,9.07708265944263E-07,0.3125,0.533760073093859,0.26,20029830495.4294,0.346666666666667,4.8449843037831E-07,2.2,1.16,48.4532824947022,Pthesis,,16.4852531815073,14.2114251564718,TRUE,1,1.85,95.7570888178495,82.5492144981461,NA
55MN,55,0,2.5,0,3.5,125.949,117.378,8.571,1s 1/2,0.5,M1,24500000,NA,1.75E-06,6.43113143887636E-08,0.982897582071948,0.997876786209197,0.0417,2653073031.61833,0.0556,6.41747677191487E-08,0.0174,0.000922,0.00899349832501,Pthesis,,0.019619501595857,21.2792858957229,TRUE,1,0.01489,0.01933504615644,20.9707658963556,NA
57FE,57,0,0.5,0,1.5,14.412,5.135,9.277,1s 1/2,0.5,M1,6210000,NA,2.56E-09,9.40782656201342E-11,0.104602510460251,0.191171056424648,0.0078,743526.312187931,0.0156,1.79850414251997E-11,8.56,0.00119,1.19109578744725,Pthesis,,0.309878770051817,260.402327774636,TRUE,1,7.65,2.18194028857318,1833.56326770855,NA
40K,40,0,4,0,3,29.829,24.896,4.933,1s 1/2,0.5,M1,13300000,NA,9.47E-08,3.48016084149481E-09,0.770416024653313,0.881154583892218,0.15,126775788.540347,0.116666666666667,3.06655967816535E-09,0.298,0.00227,0.108524670199023,Pthesis,,0.166982498471709,73.5605720139686,TRUE,1,0.263,0.211604273009817,93.2177414140163,NA
155GD,155,0,1.5,0,2.5,60.008,45.784,14.224,2s 1/2,0.5,M1,273000000,NA,1.97E-06,7.23961653404939E-08,0.096246390760347,0.108057230277099,0.047,323410632.963716,0.0705,7.82292910937671E-09,9.39,0.00318,0.658674977996959,Pthesis,,6.39636250422163,2011.43474975523,TRUE,2,1.082,1.26643041680533,398.248558743814,NA
155GD,155,0,1.5,0,2.5,60.008,45.938,14.07,2p 1/2,0.5,M1,24000000,NA,1.86E-06,6.83537398646287E-08,0.096246390760347,0.114447711637573,0.047,323410632.963716,0.0705,7.82292910937671E-09,9.39,0.000294,0.0575179050105,Pthesis,,6.39636250422163,21756.3350483729,TRUE,2,1.082,1.25795362722628,4278.75383410298,NA
155GD,155,0,1.5,0,2.5,60.008,46.722,13.286,2p 3/2,1.5,M1,4000000,NA,1.85E-06,6.79862466395501E-08,0.096246390760347,0.115066347916695,0.047,323410632.963716,0.0705,7.82292910937671E-09,9.39,4.84E-05,0.009267297937678,Pthesis,,12.7927250084433,264312.500174448,TRUE,2,1.082,2.43218129446697,50251.6796377473,NA
157GD,155,0,1.5,0,2.5,54.533,40.309,14.224,2s 1/2,0.5,M1,416000000,NA,4.37E-07,1.6059453935937E-08,0.076335877862595,0.598938458573876,0.077,397647150.074107,0.1155,9.61862458592827E-09,12.1,0.0286,1.29486730940475,Pthesis,,12.2714519609109,429.071746884998,TRUE,2,1.433,2.66052448261186,93.0253315598552,NA
157GD,157,0,1.5,0,2.5,54.533,40.463,14.07,2p 1/2,0.5,M1,36800000,NA,2.71E-07,9.95906639963139E-09,0.076335877862595,0.965815890763042,0.077,397647150.074107,0.1155,9.61862458592827E-09,12.1,0.00407,0.113675702044801,Pthesis,,12.2714519609109,3015.09876189458,TRUE,2,1.433,2.6403113949652,648.725158468109,NA
157GD,157,0,1.5,0,2.5,54.533,41.247,13.286,2p 3/2,1.5,M1,6210000,NA,2.56E-07,9.40782656201342E-09,0.076335877862595,1.02240666561244,0.077,397647150.074107,0.1155,9.61862458592827E-09,12.1,0.000712,0.018460474135488,Pthesis,,24.5429039218219,34470.3706767161,TRUE,2,1.433,5.0817883155785,7137.34313985744,NA
164DY,164,0,0,0,2,73.392,10.318,63.074,1s 1/2,0.5,E2,186000000,NA,4.37E-08,1.6059453935937E-09,0.101112234580384,0.441314735032406,211,29299762.6315727,1055,7.08727365850317E-10,8.89,0.0388,8.83604423784029,Pthesis,,1.22258383625632,31.5098926870186,TRUE,1,2.15,14.9629596063767,385.64328882414,NA
170ER,170,0,0,0,2,78.591,11.35,67.241,1s 1/2,0.5,E2,223000000,NA,5.75E-08,2.11308604420223E-09,0.118063754427391,0.488393780624464,208,42665044.8233431,1040,1.03201808191272E-09,7.47,0.047,8.75485836179717,Pthesis,,1.30454003211498,27.7561708960635,TRUE,1,1.74,14.5725555718585,310.054373869329,NA
174YB,174,0,0,0,2,76.471,4.897,71.574,1s 1/2,0.5,E2,179000000,NA,4.85E-08,1.78234214163145E-09,0.095877277085331,0.503403034353358,201,37092986.7422331,1005,8.97236442353134E-10,9.43,0.0927,37.7510301635527,Pthesis,,1.51223815161842,16.3132486690229,TRUE,1,1.592,62.2702556002453,671.739542613218,NA
154GD,154,0,0,0,2,123.071,64.005,59.066,1s 1/2,0.5,E2,569000000,NA,2.51E-07,9.22407994947409E-09,0.455166135639508,0.697071838666608,157,265818679.350428,785,6.4298463703877E-09,1.197,0.0291,0.702458135975936,Pthesis,,0.531102590669298,18.2509481329656,TRUE,1,0.656,1.07638471060352,36.9891653128358,NA
156GD,156,0,0,0,2,88.966,74.742,14.224,2s 1/2,0.5,E2,33500000,NA,1.21E-07,4.44666802345165E-09,0.204918032786885,0.34957595582748,189,64263024.3967112,945,1.5544482245456E-09,3.88,0.000709,0.03032853005795,Pthesis,,0.796443531376659,1123.33361266101,TRUE,2,1.79,0.520703804475286,734.420034520855,NA
156GD,156,0,0,0,2,88.966,74.896,14.07,2p 1/2,0.5,E2,116000000,NA,1.32E-07,4.85091057103817E-09,0.204918032786885,0.320444626175189,189,64263024.3967112,945,1.5544482245456E-09,3.88,0.00225,0.104586764059508,Pthesis,,0.796443531376659,353.974902834071,TRUE,2,1.79,0.518564679693507,230.473190974892,NA
156GD,156,0,0,0,2,88.966,75.68,13.286,2p 3/2,1.5,E2,159000000,NA,1.27E-07,4.66716395849884E-09,0.204918032786885,0.333060556339567,189,64263024.3967112,945,1.5544482245456E-09,3.88,0.00317,0.140401213643406,Pthesis,,1.59288706275332,502.488032414296,TRUE,2,1.79,1.01575256891021,320.426677889658,NA
162DY,162,0,0,0,2,80.66,65.432,15.228,2s 1/2,0.5,E2,28100000,NA,9.39E-08,3.45076138348851E-09,0.140056022408964,0.313223507297174,204,44684219.5703211,1020,1.08085958338192E-09,6.14,0.000625,0.033194177647494,Pthesis,,1.06614517382395,1705.83227811833,TRUE,2,0.1643,0.043362802145847,69.3804834333556,NA
162DY,162,0,0,0,2,80.66,65.594,15.066,2p 1/2,0.5,E2,159000000,NA,1.11E-07,4.079174798373E-09,0.140056022408964,0.264970156173015,204,44684219.5703211,1020,1.08085958338192E-09,6.14,0.00298,0.186898096257348,Pthesis,,1.06614517382395,357.766836853676,TRUE,2,1.532,0.402337673393444,135.012642078337,NA
162DY,162,0,0,0,2,80.66,66.492,14.168,2p 3/2,1.5,E2,215000000,NA,1.04E-07,3.82192954081795E-09,0.140056022408964,0.282804685915429,204,44684219.5703211,1020,1.08085958338192E-09,6.14,0.0424,0.245943671430079,Pthesis,,2.13229034764791,50.2898666898091,TRUE,2,1.532,0.783087216589974,18.469038127122,NA
163DY,163,0,2.5,0,3.5,73.44,58.212,15.228,2s 1/2,0.5,E2,9180000,NA,1.06E-07,3.89542818583368E-09,0.108108108108108,6.95031731172617E-07,0.00081,111.929543986742,0.00108,2.70744619565859E-15,8.25,0.000209,0.013701042838496,Pthesis,,1.15428303091758E-06,0.005522885315395,TRUE,2,0.198,4.41021339806875E-08,0.000211014995123,NA
163DY,163,0,2.5,0,3.5,73.44,58.374,15.066,2p 1/2,0.5,E2,69300000,NA,1.36E-07,4.99790786106963E-09,0.108108108108108,5.41715908119834E-07,0.00081,111.929543986742,0.00108,2.70744619565859E-15,8.25,0.00123,0.10285616117305,Pthesis,,1.15428303091758E-06,0.000938441488551,TRUE,2,2.38,5.27178275225716E-07,0.000428600223761,NA
163DY,163,0,2.5,0,3.5,73.44,59.272,14.168,2p 3/2,1.5,E2,94400000,NA,1.25E-07,4.59366531348311E-09,0.108108108108108,5.8938690803438E-07,0.00081,111.929543986742,0.00108,2.70744619565859E-15,8.25,0.00179,0.135896670051951,Pthesis,,2.30856606183517E-06,0.001289701710522,TRUE,2,2.58,1.10858754110841E-06,0.000619322648664,NA
236U,236,0,0,0,2,45.242,12.404,32.838,2s 1/2,0.5,E2,106000000,NA,1.76E-08,6.46788076138422E-10,0.001694915254237,0.187757655583665,250,5020472.10484174,1250,1.21439412835219E-10,589,0.00847,3.48432241267011,Pthesis,,36.5246863045541,4312.24159439836,TRUE,2,7.7,6.35356909309224,750.126221144303,NA
236U,236,0,0,0,2,45.242,12.698,32.544,2p 1/2,0.5,E2,3020000000,NA,4.01E-07,1.47364783256538E-08,0.001694915254237,0.008240735008161,250,5020472.10484174,1250,1.21439412835219E-10,589,0.0102,94.7266724784899,Pthesis,,36.5246863045541,3580.8515984857,TRUE,2,225,177.158673462941,17368.4973983275,NA
236U,236,0,0,0,2,45.242,16.871,28.371,2p 3/2,1.5,E2,3100000000,NA,2.07E-07,7.60710975912803E-09,0.001694915254237,0.015963935933684,250,5020472.10484174,1250,1.21439412835219E-10,589,0.0152,55.0828023978275,Pthesis,,73.0493726091082,4805.87977691502,TRUE,2,197,175.737772775084,11561.6955773082,NA
238U,236,0,0,0,2,44.91,12.073,32.837,2s 1/2,0.5,E2,111000000,NA,1.81E-08,6.65162737392355E-10,0.001636661211129,0.175969761359141,250,4838946.90233012,1250,1.17048528163926E-10,610,0.0088,3.85148811361141,Pthesis,,35.7264836815816,4059.82769108882,TRUE,2,7.96,6.68250837633788,759.375951856577,NA
238U,236,0,0,0,2,44.91,12.356,32.554,2p 1/2,0.5,E2,3140000000,NA,4.17E-07,1.53244674857797E-08,0.001636661211129,0.007638016020625,250,4838946.90233012,1250,1.17048528163926E-10,610,0.0106,104.018319515108,Pthesis,,35.7264836815816,3370.42298882845,TRUE,2,233,186.748433321258,17617.7767284206,NA
238U,236,0,0,0,2,44.91,16.534,28.376,2p 3/2,1.5,E2,3230000000,NA,2.16E-07,7.93785366169882E-09,0.001636661211129,0.014745614262039,250,4838946.90233012,1250,1.17048528163926E-10,610,0.0156,59.7561543140157,Pthesis,,71.4529673631632,4580.31842071559,TRUE,2,204,182.625383881874,11706.7553770432,NA
248CM,248,0,0,0,2,43.38,6.888,36.492,2s 1/2,0.5,E2,218000000,NA,3.25E-08,1.19435298150561E-09,0.000999000999001,0.114101221579813,324,5633883.88284931,1620,1.36277134187282E-10,1000,0.0178,23.2383988325827,Pthesis,,75.6900912267863,4252.25231611159,TRUE,2,14.57,43.7509165186663,2457.91665835204,NA
248CM,248,0,0,0,2,43.38,7.19,36.19,2p 1/2,0.5,E2,5470000000,NA,7.24E-07,2.66065094956942E-08,0.000999000999001,0.005121947101304,324,5633883.88284931,1620,1.36277134187282E-10,1000,0.0191,535.137678068419,Pthesis,,75.6900912267863,3962.83200140243,TRUE,2,288,793.685758133108,41554.2281745083,NA
248CM,248,0,0,0,2,43.38,12.356,31.024,2p 3/2,1.5,E2,5330000000,NA,3.54E-07,1.30092601677842E-08,0.000999000999001,0.010475394636565,324,5633883.88284931,1620,1.36277134187282E-10,1000,0.022,176.566128348894,Pthesis,,151.380182453573,6880.9173842533,TRUE,2,323,602.824089902637,27401.0949955744,NA
